"","WKT","id","codigo","nomoficial","alt_izqini","alt_izqfin","alt_derini","alt_derfin","nomanter","nom_mapa","tipo_c","long","sentido","cod_sent","observa","bicisenda","lado_ciclo","recorrid_x","ciclo_obse","tooltip_bi","red_jerarq","red_tp","ffcc","tipo_ffcc","comuna","com_par","com_impar","barrio","barrio_par","barrio_imp"
"1","LINESTRING (-58.3609391330621 -34.6045756791061,-58.3608208522442 -34.6049065704342)",10351,7134,"GIRALT, HERNAN M., INT., A AV.",0,0,0,0,"","AV.INT. HERNAN M. GIRALT","AVENIDA",38.28,"DOBLE",2,"corrección nombre 29-1","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"PUERTO MADERO","PUERTO MADERO","PUERTO MADERO"
"2","LINESTRING (-58.363887700555 -34.6119814203479,-58.3637196747622 -34.6120650859034,-58.3636331531471 -34.6121067445072)",12254,23484,"VILLAFLOR, AZUCENA",0,0,0,0,"MONSERRAT-BELGRANO, AV.","AZUCENA VILLAFLOR","BOULEVARD",27.17,"CRECIENTE",1,"no corresponde número 28-1","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"PUERTO MADERO","PUERTO MADERO","PUERTO MADERO"
"3","LINESTRING (-58.3549171535508 -34.620697234659,-58.3548534472928 -34.62081844704,-58.3540323697295 -34.6222909704958)",15048,5074,"ESPAÑA AV.",2102,2300,2101,2299,"9 DE JULIO - TRISTAN ACHAVAL RODRIGUEZ, Dr., Av. C","AV. ESPAÑA","AVENIDA",194.54,"DOBLE",2,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",4,4,4,"BOCA","BOCA","BOCA"
"4","LINESTRING (-58.355980083748 -34.6286515001898,-58.3556550300756 -34.6288795259407,-58.3552910361422 -34.6291768832379,-58.3548750593247 -34.6295485601784)",17097,13072,"DON PEDRO DE MENDOZA AV.",602,700,601,699,"","AV.DON PEDRO DE MENDOZA","AVENIDA",142.2,"DOBLE",2,"","-","","","","","VÍA DISTRIBUIDORA PRINCIPAL","SI","","",4,4,4,"BOCA","BOCA","BOCA"
"5","LINESTRING (-58.3537239126408 -34.6355700536467,-58.3541836616128 -34.6362172322067,-58.3544841726506 -34.6364744748157,-58.3547379536006 -34.63663251928)",19115,13072,"DON PEDRO DE MENDOZA AV.",1302,1400,1301,1399,"","AV.DON PEDRO DE MENDOZA","AVENIDA",152.06,"DOBLE",2,"","-","","","","","VÍA DISTRIBUIDORA PRINCIPAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"6","LINESTRING (-58.3584784795815 -34.6389471496538,-58.3585468885745 -34.6389552366686,-58.358620071945 -34.6389610037795,-58.3586934292712 -34.6389639540704,-58.3587669607226 -34.6389639466946,-58.3588403252972 -34.6389611222062,-58.3601495664266 -34.638969560573,-58.3603025791975 -34.638981239287)",19785,13072,"DON PEDRO DE MENDOZA AV.",1702,1800,1701,1799,"","AV.DON PEDRO DE MENDOZA","AVENIDA",167.43,"DOBLE",2,"","-","","","","","VÍA DISTRIBUIDORA PRINCIPAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"7","LINESTRING (-58.361303591695 -34.6392515864508,-58.3614663133843 -34.6395212423993,-58.3615772085469 -34.6397479768565)",20004,13072,"DON PEDRO DE MENDOZA AV.",0,0,0,0,"","AV.DON PEDRO DE MENDOZA","AVENIDA",60.5580435124022,"DOBLE",2,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"8","LINESTRING (-58.3612835828482 -34.6053909087084,-58.3594404169947 -34.6106192552856)",10391,4046,"DE LOS ITALIANOS AV.",712,1100,711,1089,"","AV. DE LOS ITALIANOS","AVENIDA",604.15,"DOBLE",2,"Alturas cargadas por USIG en Abril de 2017 en base a Callejero de Planeamiento - MDU","Ciclovías Proyectadas","","","","Ciclovía proyectada","VÍA LOCAL","SI","","",1,1,1,"PUERTO MADERO","PUERTO MADERO","PUERTO MADERO"
"9","LINESTRING (-58.3635339410477 -34.6105898859426,-58.3626884139589 -34.610518015804)",27819,13170,"MAIZANI, AZUCENA",302,400,301,399,"","AZUCENA MAIZANI","PASAJE PÚBLICO",77.96,"DECRECIENTE",-1,"Denom. según Ley 1122 BO 1818 14/11/2003 //Área librada al uso público por servidumbre //Alturas según calles aledañas //Asig. Sent. Circ. de E a O según R. N.° 852/SSTRANS/14 BO 4549 29/12/2014 -Confirmación según Ley Nº 5406 BO 4801 del 15/1/2016","-","","","","","VÍA LOCAL","","","",1,1,1,"PUERTO MADERO","PUERTO MADERO","PUERTO MADERO"
"10","LINESTRING (-58.363238257207 -34.5980605884646,-58.3631832239904 -34.5982176584059)",8601,7134,"GIRALT, HERNAN M., INT., A AV.",0,0,0,0,"","AV.INT. HERNAN M. GIRALT","AVENIDA",18.14,"DECRECIENTE",-1,"corrección nombre 29-1","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"PUERTO MADERO","PUERTO MADERO","PUERTO MADERO"
"11","LINESTRING (-58.3631832239904 -34.5982176584059,-58.3633514947745 -34.5982268105733,-58.3634506120843 -34.5982370327192,-58.3635435805233 -34.598261616175,-58.3636436895727 -34.5982971914753,-58.3637215607792 -34.5983414810758)",8625,7135,"GRIERSON, CECILIA",0,0,0,0,"","CECILIA GRIERSON","CALLE",52.25,"DECRECIENTE",-1,"Asignación de Sentido de Circulación de E a O según Resolución  N.° 852/SSTRANS/14 aparecida en el Boletín Oficial 4549 del 29/12/2014 - Confirmación según Ley Nº 5406 en B.O. 4801 del 15/1/2016","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"PUERTO MADERO","PUERTO MADERO","PUERTO MADERO"
"12","LINESTRING (-58.3635351081291 -34.5989371829243,-58.3633700055798 -34.5989124699879,-58.3631816971155 -34.5988513992099,-58.3630589890557 -34.5987701000504,-58.3630110294909 -34.5987097076118)",8769,30063,"SANCHEZ DE THOMPSON, MARIQUITA",0,0,0,0,"","MARIQUITA SANCHEZ DE THOMPSON","CALLE",56.39,"CRECIENTE",1,"Asignación de Sentido de Circulación de O a E según Resolución  N.° 852/SSTRANS/14 aparecida en el Boletín Oficial 4549 del 29/12/2014 - Confirmación según Ley Nº 5406 en B.O. 4801 del 15/1/2016","-","","","","","VÍA LOCAL","","","",1,1,1,"PUERTO MADERO","PUERTO MADERO","PUERTO MADERO"
"13","LINESTRING (-58.3640373643853 -34.5989610106674,-58.3635351081291 -34.5989371829243)",8779,30063,"SANCHEZ DE THOMPSON, MARIQUITA",0,0,0,0,"","MARIQUITA SANCHEZ DE THOMPSON","CALLE",46.1484362888154,"CRECIENTE",1,"Asignación de Sentido de Circulación de O a E según Resolución  N.° 852/SSTRANS/14 aparecida en el Boletín Oficial 4549 del 29/12/2014","Ciclovías Proyectadas","","","","Ciclovía proyectada","VÍA LOCAL","","","",1,1,1,"PUERTO MADERO","PUERTO MADERO","PUERTO MADERO"
"14","LINESTRING (-58.3648127988368 -34.5990247714765,-58.3640373643853 -34.5989610106674)",8789,30063,"SANCHEZ DE THOMPSON, MARIQUITA",312,400,311,399,"","MARIQUITA SANCHEZ DE THOMPSON","CALLE",71.4824625429311,"CRECIENTE",1,"Asignación de Sentido de Circulación de O a E según Resolución  N.° 852/SSTRANS/14 aparecida en el Boletín Oficial 4549 del 29/12/2014","Ciclovías Proyectadas","","","","Ciclovía proyectada","VÍA LOCAL","","","",1,1,1,"PUERTO MADERO","PUERTO MADERO","PUERTO MADERO"
"15","LINESTRING (-58.3649877973642 -34.5990356169843,-58.3648127988368 -34.5990247714765)",8792,30063,"SANCHEZ DE THOMPSON, MARIQUITA",302,310,301,309,"","MARIQUITA SANCHEZ DE THOMPSON","CALLE",16.1,"CRECIENTE",1,"corrección númeración 28-1","Ciclovías Proyectadas","","","","Ciclovía proyectada","VÍA LOCAL","","","",1,1,1,"PUERTO MADERO","PUERTO MADERO","PUERTO MADERO"
"16","LINESTRING (-58.3651656060878 -34.599046675772,-58.3649877973642 -34.5990356169843)",8794,30063,"SANCHEZ DE THOMPSON, MARIQUITA",292,300,291,299,"","MARIQUITA SANCHEZ DE THOMPSON","CALLE",16.36,"CRECIENTE",1,"corrección númeración 28-1","-","","","","","VÍA LOCAL","","","",1,1,1,"PUERTO MADERO","PUERTO MADERO","PUERTO MADERO"
"17","LINESTRING (-58.3659999776217 -34.5982650493677,-58.3658780336689 -34.5990909797078)",8808,4028,"DEALESSI, PIERINA",2,100,1,99,"","PIERINA DEALESSI","CALLE PEATONAL",92.3035246514261,"PEATONAL",0,"corrección numeración 29-1","-","","","","","VÍA LOCAL","","","",1,1,1,"PUERTO MADERO","PUERTO MADERO","PUERTO MADERO"
"18","LINESTRING (-58.3690767423694 -34.5993532842916,-58.3678549501175 -34.5992302906232)",8875,30063,"SANCHEZ DE THOMPSON, MARIQUITA",2,100,1,99,"","MARIQUITA SANCHEZ DE THOMPSON","CALLE",112.91,"CRECIENTE",1,"Asignación de Sentido de Circulación de O a E según Resolución  N.° 852/SSTRANS/14 aparecida en el Boletín Oficial 4549 del 29/12/2014 - Confirmación según Ley Nº 5406 en B.O. 4801 del 15/1/2016","-","","","","","VÍA LOCAL","","SI","Paso a Nivel",1,1,1,"PUERTO MADERO","PUERTO MADERO","PUERTO MADERO"
"19","LINESTRING (-58.3690767423694 -34.5993532842916,-58.3693024865279 -34.5993759939517,-58.3694620672009 -34.5993908353107)",8881,23045,"VIAMONTE",2,100,1,99,"","VIAMONTE","CALLE",35.59,"DECRECIENTE",-1,"","Ciclovías","","","Construcción Año 2010","Ciclovía","VÍA LOCAL","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"20","LINESTRING (-58.3694620672009 -34.5993908353107,-58.3706397843549 -34.5995001959298)",8908,23045,"VIAMONTE",102,200,101,199,"","VIAMONTE","CALLE",108.71659393094,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"21","LINESTRING (-58.3709313856297 -34.5995272566027,-58.3710590695339 -34.5995390974797,-58.3713938153731 -34.5995704773004)",8921,23045,"VIAMONTE",202,300,201,299,"","VIAMONTE","CALLE",42.6909224992894,"DECRECIENTE",-1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"22","LINESTRING (-58.3713938153731 -34.5995704773004,-58.3714001275296 -34.5994840722931,-58.3714841667356 -34.5984167248974)",8922,23024,"25 DE MAYO",702,800,701,799,"","25 DE MAYO","CALLE",128.26,"DECRECIENTE",-1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"23","LINESTRING (-58.3726711645929 -34.5996754483704,-58.3727874036404 -34.5996849009882,-58.374087158996 -34.5997857892854)",8975,23045,"VIAMONTE",402,500,401,499,"","VIAMONTE","CALLE",130.47,"DECRECIENTE",-1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"24","LINESTRING (-58.374087158996 -34.5997857892854,-58.3742022917502 -34.5997947467814,-58.3752323657058 -34.5998659886007,-58.3753675992909 -34.5998732693367)",8996,23045,"VIAMONTE",502,600,501,599,"","VIAMONTE","CALLE",117.86,"DECRECIENTE",-1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"25","LINESTRING (-58.3768030477049 -34.5999551416195,-58.3768434133678 -34.5989711411529,-58.3768429868068 -34.5988074763703)",9023,13014,"MAIPU",702,800,701,799,"","MAIPU","CALLE",127.38,"DECRECIENTE",-1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"26","LINESTRING (-58.3647008789454 -34.6000168016427,-58.3639205970876 -34.5999389586142)",9049,1175,"PACINI DE ALVEAR REGINA",302,400,301,399,"","REGINA PACINI DE ALVEAR","CALLE",74.3,"CRECIENTE",1,"corrección númeración 28-1","-","","","","","VÍA LOCAL","","","",1,1,1,"PUERTO MADERO","PUERTO MADERO","PUERTO MADERO"
"27","LINESTRING (-58.3782118873875 -34.6000764156821,-58.3782213661638 -34.5998843771265,-58.3782698508818 -34.5991066525901,-58.3782829978977 -34.5989082784296)",9058,5072,"ESMERALDA",702,800,701,799,"","ESMERALDA","CALLE",129.75,"CRECIENTE",1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"28","LINESTRING (-58.3796711297391 -34.6001317211189,-58.3797343571719 -34.5991612566986,-58.3797459598027 -34.5989708391905)",9072,20123,"SUIPACHA",702,800,701,799,"","SUIPACHA","CALLE",128.97,"DECRECIENTE",-1,"","Ciclovías","","","Construcción Año 2011","Ciclovía","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"29","LINESTRING (-58.3811771884982 -34.6002136607449,-58.3816657762905 -34.6002565010568)",9108,23045,"VIAMONTE",1002,1040,1001,1039,"","VIAMONTE","CALLE",45.07,"DECRECIENTE",-1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"30","LINESTRING (-58.3824355629847 -34.6003240098735,-58.3824515260174 -34.6001098622753,-58.382509604242 -34.5993225647981,-58.3825246483583 -34.5990895430171)",9117,3118,"CERRITO",702,800,701,799,"","CERRITO","CALLE",137.19,"DECRECIENTE",-1,"","-","","","","","VÍA DISTRIBUIDORA PRINCIPAL","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"31","LINESTRING (-58.3839476518761 -34.6004299337507,-58.3839600193933 -34.6002312768105,-58.384032320734 -34.5991594060354)",9132,12106,"LIBERTAD",702,800,701,799,"","LIBERTAD","CALLE",141.16,"CRECIENTE",1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"32","LINESTRING (-58.385356038083 -34.6005094342649,-58.3854753584282 -34.5992269556643)",9153,21009,"TALCAHUANO",702,800,701,799,"","TALCAHUANO","CALLE",142.69,"DECRECIENTE",-1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"33","LINESTRING (-58.369319943358 -34.6005117287493,-58.3693463700859 -34.6003378028291,-58.3694620672009 -34.5993908353107)",9160,2105,"BOUCHARD",602,700,601,699,"","BOUCHARD","CALLE",125.03,"DECRECIENTE",-1,"","Ciclovías","","","Construcción Año 2010","Ciclovía","VÍA LOCAL","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"34","LINESTRING (-58.385356038083 -34.6005094342649,-58.3865697556387 -34.6005710495177,-58.3867082264306 -34.6005796577699)",9171,23045,"VIAMONTE",1302,1400,1301,1399,"","VIAMONTE","CALLE",124.29,"DECRECIENTE",-1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"35","LINESTRING (-58.3867082264306 -34.6005796577699,-58.386793983017 -34.6005849229155)",9177,23045,"VIAMONTE",0,0,0,0,"","VIAMONTE","CALLE",7.89,"DOBLE",2,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"36","LINESTRING (-58.386793983017 -34.6005849229155,-58.3869808250611 -34.6005964485449,-58.3880998496246 -34.6006487638233)",9191,23045,"VIAMONTE",1402,1500,1401,1499,"","VIAMONTE","CALLE",120,"DECRECIENTE",-1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"37","LINESTRING (-58.3880998496246 -34.6006487638233,-58.3881052235527 -34.6005448218989,-58.3881507524338 -34.5993539162902)",9192,17018,"PARANA",702,800,701,799,"","PARANA","CALLE",143.72,"CRECIENTE",1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"38","LINESTRING (-58.369319943358 -34.6005117287493,-58.3703563908949 -34.6006348511981)",9195,21060,"TUCUMAN",102,200,101,199,"","TUCUMAN","CALLE",96.0530260096593,"CRECIENTE",1,"","Ciclovías Proyectadas","","","","Ciclovía proyectada","VÍA LOCAL","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"39","LINESTRING (-58.3899926670834 -34.6007251985041,-58.3901436574836 -34.5994714671931)",9213,4038,"DEL CARMEN",702,800,701,799,"","DEL CARMEN","CALLE",139.77,"CRECIENTE",1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"40","LINESTRING (-58.3706217962117 -34.6006650761892,-58.3707043787753 -34.6006739163643,-58.371273125376 -34.6007398405744)",9225,21060,"TUCUMAN",202,300,201,299,"","TUCUMAN","CALLE",60.3218912848579,"CRECIENTE",1,"","Ciclovías Proyectadas","","","","Ciclovía proyectada","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"41","LINESTRING (-58.371273125376 -34.6007398405744,-58.371282427542 -34.6006452687085,-58.3713847370635 -34.5996939934607,-58.3713938153731 -34.5995704773004)",9226,23024,"25 DE MAYO",602,700,601,699,"","25 DE MAYO","CALLE",130.2,"DECRECIENTE",-1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"42","LINESTRING (-58.3909950457262 -34.6007462194424,-58.3912741277752 -34.6007520888099,-58.3914273369207 -34.6007561228717)",9231,23045,"VIAMONTE",1680,1700,1679,1699,"","VIAMONTE","CALLE",39.67,"DECRECIENTE",-1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"43","LINESTRING (-58.3914273369207 -34.6007561228717,-58.3915562807989 -34.5995636453632)",9232,19071,"RODRIGUEZ PEÑA",702,800,701,799,"","RODRIGUEZ PEÑA","CALLE",132.82,"DECRECIENTE",-1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"44","LINESTRING (-58.382401365565 -34.6007835483123,-58.3839217069925 -34.6008454865321)",9263,21042,"TOSCANINI ARTURO",1102,1200,1101,1199,"","ARTURO TOSCANINI","CALLE",139.62905007155,"PEATONAL",0,"Se asignó sentido peatonal ya que es una calle dentro de un espacio público (Junio 2017)","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"45","LINESTRING (-58.371273125376 -34.6007398405744,-58.3713583650148 -34.6007497641345,-58.3724844035691 -34.6008451158634,-58.3725940876325 -34.6008535074322)",9271,21060,"TUCUMAN",302,400,301,399,"","TUCUMAN","CALLE",121.84,"CRECIENTE",1,"","Ciclovías Proyectadas","","","","Ciclovía proyectada","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"46","LINESTRING (-58.37399775623 -34.6009607415784,-58.3740031116424 -34.6008905331794,-58.3740809209821 -34.5998850820029,-58.374087158996 -34.5997857892854)",9314,20044,"SAN MARTIN",602,700,601,699,"","SAN MARTIN","CALLE",130.6,"CRECIENTE",1,"","Ciclovías","","","Construcción Año 2014","Ciclovía","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"47","LINESTRING (-58.3753344231269 -34.6010488969252,-58.3767549051891 -34.601128223735)",9355,21060,"TUCUMAN",602,700,601,699,"","TUCUMAN","CALLE",130.6,"CRECIENTE",1,"","Ciclovías Proyectadas","","","","Ciclovía proyectada","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"48","LINESTRING (-58.3767549051891 -34.601128223735,-58.3768030477049 -34.5999551416195)",9356,13014,"MAIPU",602,700,601,699,"","MAIPU","CALLE",130.21,"DECRECIENTE",-1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"49","LINESTRING (-58.3781804024144 -34.6012196503653,-58.3781850045005 -34.6011331029847,-58.3782067555838 -34.6001814136927,-58.3782118873875 -34.6000764156821)",9376,5072,"ESMERALDA",602,700,601,699,"","ESMERALDA","CALLE",126.86,"CRECIENTE",1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"50","LINESTRING (-58.3781804024144 -34.6012196503653,-58.3795969919572 -34.6012795748888)",9388,21060,"TUCUMAN",802,900,801,899,"","TUCUMAN","CALLE",130.12,"CRECIENTE",1,"","Ciclovías Proyectadas","","","","Ciclovía proyectada","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"51","LINESTRING (-58.3795969919572 -34.6012795748888,-58.3796022999729 -34.6011670416341,-58.3796641230354 -34.6002398165447,-58.3796711297391 -34.6001317211189)",9389,20123,"SUIPACHA",602,700,601,699,"","SUIPACHA","CALLE",127.52,"DECRECIENTE",-1,"","Ciclovías","","","Construcción Año 2011","Ciclovía","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"52","LINESTRING (-58.3795969919572 -34.6012795748888,-58.3797170708786 -34.6012846572767,-58.3808899143002 -34.6013477799136,-58.3811056324446 -34.6013553198932)",9404,21060,"TUCUMAN",902,1000,901,999,"","TUCUMAN","CALLE",138.65,"CRECIENTE",1,"","Ciclovías Proyectadas","","","","Ciclovía proyectada","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"53","LINESTRING (-58.3811056324446 -34.6013553198932,-58.3815901293734 -34.601372209217)",9409,21060,"TUCUMAN",1002,1040,1001,1039,"","TUCUMAN","CALLE",44.48,"CRECIENTE",1,"","Ciclovías Proyectadas","","","","Ciclovía proyectada","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"54","LINESTRING (-58.3819323434757 -34.6013841413563,-58.3823555722121 -34.6013989025946)",9416,21060,"TUCUMAN",1062,1100,1061,1099,"","TUCUMAN","CALLE",38.86,"CRECIENTE",1,"","Ciclovías Proyectadas","","","","Ciclovía proyectada","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"55","LINESTRING (-58.3823555722121 -34.6013989025946,-58.382401365565 -34.6007835483123)",9417,3118,"CERRITO",602,660,601,659,"","CERRITO","CALLE",68.3924248804058,"DECRECIENTE",-1,"","-","","","","","VÍA DISTRIBUIDORA PRINCIPAL","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"56","LINESTRING (-58.3838838276249 -34.6014515273245,-58.3843460978496 -34.6014637993288,-58.3845194040088 -34.6015613775932,-58.3852800898676 -34.601581866654)",9461,21060,"TUCUMAN",1202,1300,1201,1299,"","TUCUMAN","CALLE",131.48,"CRECIENTE",1,"","Ciclovías Proyectadas","","","","Ciclovía proyectada","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"57","LINESTRING (-58.3866973620025 -34.6016527656894,-58.386793983017 -34.6005849229155)",9479,22015,"URUGUAY AV.",602,700,601,699,"","AV. URUGUAY","AVENIDA",118.79,"DECRECIENTE",-1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"58","LINESTRING (-58.3866973620025 -34.6016527656894,-58.3869095016582 -34.6016633918002,-58.3878870042893 -34.6017042117268,-58.3880353570345 -34.6017121203439)",9499,21060,"TUCUMAN",1402,1500,1401,1499,"","TUCUMAN","CALLE",122.92,"CRECIENTE",1,"","Ciclovías","","","Construcción Año Enero 2017","Ciclovía","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"59","LINESTRING (-58.368317726846 -34.6017023084777,-58.3673691422987 -34.6016293822218)",9502,16049,"OCAMPO, VICTORIA",2,50,1,49,"","VICTORIA OCAMPO","CALLE",87.39,"CRECIENTE",1,"Asig. sent. E a O según R 230/SECTRANS/17 BO 5121 05/05/2017 -Antes: Doble según R Nº 558/SSTRANS/15 BO 4691 del 31/7/2015, prorrogada por R 250/SSTRANS/2015 y confirmada por Ley Nº 5406 BO 4801 15/1/2016 - Asig Creciente Obras Paseo del Bajo 24/01/2018","-","","","","","VÍA LOCAL","","SI","Paso a Nivel",1,1,1,"PUERTO MADERO","PUERTO MADERO","PUERTO MADERO"
"60","LINESTRING (-58.3880353570345 -34.6017121203439,-58.3894020429837 -34.601785139883,-58.3895321651686 -34.6017989512194)",9529,21060,"TUCUMAN",1502,1600,1501,1599,"","TUCUMAN","CALLE",137.66,"CRECIENTE",1,"","Ciclovías","","","Construcción Año Enero 2017","Ciclovía","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"61","LINESTRING (-58.368317726846 -34.6017023084777,-58.3691586282644 -34.6018057081577)",9534,12089,"LAVALLE",2,100,1,99,"LAVALLE, Gral. - RIO DE JANEIRO (parcial)","LAVALLE","CALLE",77.99,"CRECIENTE",1,"","-","","","","","VÍA LOCAL","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"62","LINESTRING (-58.3895321651686 -34.6017989512194,-58.3896673117214 -34.6018133288379,-58.3909001167731 -34.6018887859827)",9549,21060,"TUCUMAN",1602,1678,1601,1679,"","TUCUMAN","CALLE",125.9,"CRECIENTE",1,"","Ciclovías","","","Construcción Año Enero 2017","Ciclovía","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
"63","LINESTRING (-58.3909001167731 -34.6018887859827,-58.3911690586225 -34.6019052835365,-58.3913023378631 -34.6019128271521)",9556,21060,"TUCUMAN",1680,1700,1681,1699,"","TUCUMAN","CALLE",36.99,"CRECIENTE",1,"","Ciclovías","","","Construcción Año Enero 2017","Ciclovía","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN NICOLAS","SAN NICOLAS","SAN NICOLAS"
